t/M,Re(Psi_4),Im(Psi_4)
-100.0,2.725514217924242e-9,-4.590368967203567e-11
-99.99,2.726959526683698e-9,-4.5932831412781345e-11
-99.98,2.728405747222916e-9,-4.5961994504787346e-11
-99.97,2.7298528803788694e-9,-4.599117909136911e-11
-99.96,2.7313009266533675e-9,-4.6020385088225393e-11
-99.95,2.7327498868078383e-9,-4.6049612620918307e-11
-99.94,2.734199761296101e-9,-4.60788615159777e-11
-99.93,2.7356505510878272e-9,-4.610813207671627e-11
-99.92,2.7371022566948445e-9,-4.6137424096393445e-11
-99.91,2.738554878639386e-9,-4.61667376965076e-11
-99.9,2.740008418021403e-9,-4.619607283206204e-11
-99.89,2.7414628752176294e-9,-4.6225429559876263e-11
-99.88,2.742918250880972e-9,-4.6254807905711277e-11
-99.87,2.7443745457110924e-9,-4.628420784542271e-11
-99.86,2.7458317604491386e-9,-4.631362946232066e-11
-99.85,2.747289895806797e-9,-4.6343072680244243e-11
-99.84,2.748748952291664e-9,-4.637253755565113e-11
-99.83,2.750208930499981e-9,-4.6402024243364086e-11
-99.82,2.7516698313558067e-9,-4.6431532568794573e-11
-99.81,2.753131655543133e-9,-4.646106262662523e-11
-99.8,2.754594403385914e-9,-4.649061445135434e-11
-99.79,2.756058076225638e-9,-4.6520188011319466e-11
-99.78,2.7575226740575566e-9,-4.654978334719048e-11
-99.77,2.758988197852636e-9,-4.6579400526120834e-11
-99.76,2.760454648315317e-9,-4.660903951143264e-11
-99.75,2.7619220265367156e-9,-4.66387002258984e-11
-99.74,2.763390331683226e-9,-4.6668382987870704e-11
-99.73,2.764859566018144e-9,-4.6698087554857496e-11
-99.72,2.7663297297868345e-9,-4.6727814000234494e-11
-99.71,2.76780082348391e-9,-4.675756232377846e-11
-99.7,2.769272847904335e-9,-4.678733261792339e-11
-99.69,2.7707458037276825e-9,-4.681712484414775e-11
-99.68,2.77221969147816e-9,-4.6846939037404405e-11
-99.67,2.7736945120494216e-9,-4.6876775190681646e-11
-99.66,2.7751702661814702e-9,-4.6906633323077125e-11
-99.65,2.7766469541708632e-9,-4.6936513637706116e-11
-99.64,2.778124577029024e-9,-4.696641585902184e-11
-99.63,2.7796031353189594e-9,-4.699634021509387e-11
-99.62,2.7810826299671903e-9,-4.7026286558558736e-11
-99.61,2.7825630613595933e-9,-4.705625504816917e-11
-99.6,2.7840444302534514e-9,-4.7086245676989486e-11
-99.59,2.785526737418501e-9,-4.7116258353616164e-11
