t/M,Re(Psi_4),Im(Psi_4)
-100.0,2.7252237255798935e-9,-1.8657632103580995e-21
-99.99,2.7266688177028952e-9,-8.28592991050941e-21
-99.98,2.728114821539212e-9,1.5972227251678295e-21
-99.97,2.7295617376920798e-9,2.4470616903482818e-21
-99.96,2.7310095668301777e-9,-3.872267518376159e-21
-99.95,2.7324583096549776e-9,-2.0566534347704598e-21
-99.94,2.733907966648522e-9,3.7779008820141165e-21
-99.93,2.7353585387735948e-9,2.0431724867187393e-21
-99.92,2.736810026489799e-9,-5.53743422172466e-21
-99.91,2.7382624303725236e-9,-1.322750622834803e-21
-99.9,2.7397157514757845e-9,1.1321839411756836e-20
-99.89,2.7411699902610103e-9,-3.0714992041039694e-21
-99.88,2.7426251473164182e-9,7.225248917800051e-21
-99.87,2.744081223314496e-9,-3.818343726169278e-21
-99.86,2.7455382190600663e-9,5.53258108042604e-21
-99.85,2.7469961352606007e-9,-3.798391923052732e-21
-99.84,2.7484549723995455e-9,2.270838737416193e-20
-99.83,2.749914731017453e-9,7.038133358842172e-21
-99.82,2.7513754121410293e-9,1.7573763880222677e-21
-99.81,2.7528370164146156e-9,4.045362891360249e-21
-99.8,2.7542995441511024e-9,1.221697436239107e-20
-99.79,2.7557629966727513e-9,-5.2780607812095594e-21
-99.78,2.7572273740553978e-9,-3.0828232004674143e-21
-99.77,2.7586926771802377e-9,5.200949758353719e-21
-99.76,2.7601589067869753e-9,-7.136274660658695e-21
-99.75,2.761626064008561e-9,6.901706164558762e-21
-99.74,2.763094147901296e-9,-8.091804258564636e-21
-99.73,2.7645631607937603e-9,4.432535719405658e-22
-99.72,2.766033102966309e-9,-2.6498151490461563e-21
-99.71,2.767503974867269e-9,8.305881713625956e-21
-99.7,2.7689757772733247e-9,2.065281241523561e-22
-99.69,2.7704485109463673e-9,-7.942974592073643e-21
-99.68,2.771922176358772e-9,-4.311207186940175e-21
-99.67,2.773396774365532e-9,7.634530500650281e-21
-99.66,2.77487230579648e-9,-1.5022090032993044e-20
-99.65,2.7763487708106357e-9,1.0247138233073689e-20
-99.64,2.7778261705869217e-9,-7.944592305839849e-21
-99.63,2.7793045055565286e-9,2.754966543849575e-21
-99.62,2.780783776724022e-9,2.1208227474966487e-21
-99.61,2.7822639843867495e-9,-1.2267662727065538e-20
-99.6,2.78374512943059e-9,1.367345598989894e-20
-99.59,2.7852272125472726e-9,-3.8399132430520305e-21
-99.58,2.786710234354878e-9,-1.3669681324444457e-20
-99.57,2.7881941954223702e-9,-2.577557267488935e-22
-99.56,2.789679096797098e-9,-1.2042800513562842e-20
-99.55,2.7911649389699085e-9,-4.45895837758703e-21
-99.54,2.7926517224390732e-9,3.685151959418281e-21
-99.53,2.7941394482629578e-9,-4.6034741407014724e-21
-99.52,2.795628116984677e-9,-3.965555678894065e-21
-99.51,2.7971177290178384e-9,-3.5336261033169436e-21
-99.5,2.798608285438384e-9,4.839121112645545e-21
-99.49,2.8000997867557244e-9,7.982338960384667e-21
-99.48,2.801592233608574e-9,2.505838623853783e-21
-99.47,2.803085626806657e-9,-3.76280222019619e-21
-99.46,2.804579967371324e-9,2.5096132893082644e-21
-99.45,2.806075255335955e-9,1.0989668851762448e-20
-99.44,2.8075714916997456e-9,-1.2585813101086139e-21
-99.43,2.8090686773092253e-9,3.6490230186396705e-21
-99.42,2.8105668126597072e-9,-4.92324222848828e-22
-99.41,2.8120658985876467e-9,-1.4101071662099509e-21
-99.4,2.8135659355440628e-9,9.960802896455149e-21
-99.39,2.8150669243994645e-9,5.124917211342016e-21
-99.38,2.8165688660053596e-9,5.888478108991458e-22
-99.37,2.8180717608170815e-9,1.0461215688135008e-22
-99.36,2.8195756096925427e-9,3.396120433189396e-21
-99.35,2.821080413225279e-9,3.730447944872061e-21
-99.34,2.8225861721303672e-9,-1.0267090036190235e-21
-99.33,2.824092887187111e-9,1.2100498971224206e-21
-99.32,2.825600559024839e-9,-3.596716940198995e-22
-99.31,2.827109188413152e-9,-4.592689382260096e-21
-99.3,2.8286187758940207e-9,-1.1614106365518133e-20
-99.29,2.8301293223922852e-9,-1.2145794956677987e-20
-99.28,2.8316408285924353e-9,3.090372531376378e-21
-99.27,2.8331532949375646e-9,-1.1457188130196108e-20
-99.26,2.834666722500621e-9,-7.085047058062159e-21
-99.25,2.8361811115918473e-9,2.690797231123386e-21
-99.24,2.8376964632633543e-9,-9.171358578546403e-21
-99.23,2.839212778067254e-9,-4.100904397333336e-21
-99.22,2.8407300567937704e-9,3.502889541759021e-21
-99.21,2.8422483000067718e-9,-8.768547850760999e-21
-99.2,2.843767508603718e-9,5.2101168030288894e-21
-99.19,2.84528768316018e-9,-8.142492623239104e-22
-99.18,2.8468088243477706e-9,-5.327670670039891e-22
-99.17,2.8483309330032972e-9,-9.095865269456768e-21
-99.16,2.8498540097728855e-9,6.1936867728824075e-21
-99.15,2.8513780553772856e-9,4.1629167583712505e-22
-99.14,2.8529030706200783e-9,8.187788608692885e-21
-99.13,2.854429056042663e-9,2.8795305038474715e-21
-99.12,2.8559560125173215e-9,-1.1697149005516732e-20
-99.11,2.8574839407299394e-9,-8.875856197252693e-22
-99.1,2.8590128412804854e-9,2.0458686763290836e-21
-99.09,2.860542714968633e-9,1.5316513938442617e-20
-99.08,2.8620735625021332e-9,3.911631886687183e-21
-99.07,2.8636053846110128e-9,-1.0585240410210836e-20
-99.06,2.8651381820060396e-9,6.2465320892451515e-21
-99.05,2.866671955558144e-9,8.732418909982387e-21
-99.04,2.868206705564571e-9,-1.2591205480306826e-20
-99.03,2.869742433143818e-9,1.746699477165305e-20
-99.02,2.8712791388934304e-9,-2.2583284176241967e-21
-99.01,2.872816823466602e-9,8.530743927128652e-21
-99.0,2.8743554877417903e-9,7.636687452338556e-21
-98.99,2.8758951322779644e-9,1.6112429111416188e-21
-98.98,2.87743575798806e-9,1.313152187821978e-20
-98.97,2.8789773653815884e-9,-8.896347238291307e-21
-98.96,2.8805199552582063e-9,2.3295078233372803e-22
-98.95,2.882063528375396e-9,1.3621149911458264e-20
-98.94,2.8836080854561973e-9,-5.026775909525492e-21
-98.93,2.8851536272326866e-9,4.84559196771037e-21
-98.92,2.886700154409287e-9,7.358440684551048e-21
-98.91,2.8882476680571033e-9,6.496738485085081e-21
-98.9,2.889796167807985e-9,3.625835787990711e-21
-98.89,2.8913456555895152e-9,-1.9498843262008346e-21
-98.88,2.892896131616125e-9,3.459750507993516e-21
-98.87,2.8944475967579377e-9,-2.1245974129511307e-22
-98.86,2.8960000515796366e-9,6.359772052879602e-21
-98.85,2.8975534970336605e-9,-4.890887953164151e-21
-98.84,2.899107933667989e-9,-8.323676565054226e-21
-98.83,2.900663362230858e-9,-4.807845313165553e-21
-98.82,2.902219783530197e-9,1.1261444764485129e-20
-98.81,2.903777198366351e-9,4.298804714732592e-21
-98.8,2.9053356073171248e-9,1.2952494888092933e-21
-98.79,2.9068950110786905e-9,-8.27190972453562e-22
-98.78,2.908455410534656e-9,-8.634277608165864e-21
-98.77,2.9100168064085653e-9,-1.5573191189347372e-21
-98.76,2.911579199378292e-9,3.503968017603159e-21
-98.75,2.9131425902181096e-9,2.6142254461896143e-21
