t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.709921637046267e-11,1.4401394730034006e-13
-99.99,-9.715294793185102e-11,1.4410959219881456e-13
-99.98,-9.720671494257559e-11,1.442052973021246e-13
-99.97,-9.726051719312279e-11,1.443010692969215e-13
-99.96,-9.731435497857267e-11,1.4439695754713417e-13
-99.95,-9.736822813711067e-11,1.4449293672738625e-13
-99.94,-9.742213707190876e-11,1.4458888439905658e-13
-99.93,-9.747608110987023e-11,1.446849583284332e-13
-99.92,-9.753006087088303e-11,1.4478114438350574e-13
-99.91,-9.75840762181241e-11,1.4487733667452778e-13
-99.9,-9.763812714721243e-11,1.44973621931819e-13
-99.89,-9.76922135899937e-11,1.4507000389536514e-13
-99.88,-9.774633577023478e-11,1.451664887382271e-13
-99.87,-9.780049352041526e-11,1.452630113590868e-13
-99.86,-9.785468709308574e-11,1.4535957028703802e-13
-99.85,-9.79089163696572e-11,1.4545627741833087e-13
-99.84,-9.796318262180452e-11,1.4555285764425895e-13
-99.83,-9.801748187968682e-11,1.456498865886994e-13
-99.82,-9.807181857451719e-11,1.4574674712141897e-13
-99.81,-9.812619096532551e-11,1.4584372262276412e-13
-99.8,-9.818059931280289e-11,1.4594079243496823e-13
-99.79,-9.823504337353736e-11,1.460378903748671e-13
-99.78,-9.828952348131004e-11,1.4613508571933398e-13
-99.77,-9.834403949106667e-11,1.4623235533044478e-13
-99.76,-9.839859137241066e-11,1.4632969787584375e-13
-99.75,-9.845317916885234e-11,1.464271505939536e-13
-99.74,-9.850780337142175e-11,1.4652462685266347e-13
-99.73,-9.856246335713659e-11,1.4662221171732848e-13
-99.72,-9.861715948317527e-11,1.467198221840327e-13
-99.71,-9.867189173794594e-11,1.468175296805345e-13
-99.7,-9.872666007219905e-11,1.4691536647570752e-13
-99.69,-9.878146457142888e-11,1.4701323551666792e-13
-99.68,-9.883630528406186e-11,1.47111154487083e-13
-99.67,-9.889118217588325e-11,1.4720921231874497e-13
-99.66,-9.894609523391797e-11,1.4730730273412802e-13
-99.65,-9.900104471092656e-11,1.4740550228189717e-13
-99.64,-9.90560305110892e-11,1.4750372399167093e-13
-99.63,-9.911105281294692e-11,1.4760206737829113e-13
-99.62,-9.91661110582674e-11,1.4770043685064693e-13
-99.61,-9.922120590319092e-11,1.4779891827900712e-13
-99.6,-9.92763367633515e-11,1.478975465001637e-13
-99.59,-9.93315047972465e-11,1.4799611973684708e-13
-99.58,-9.938670894244614e-11,1.480948151845932e-13
-99.57,-9.944194951702884e-11,1.4819360077472059e-13
-99.56,-9.949722666953014e-11,1.4829242818726494e-13
-99.55,-9.955254025386136e-11,1.4839141415813677e-13
-99.54,-9.960789059687862e-11,1.4849042529584907e-13
-99.53,-9.966327744406316e-11,1.4858951752287938e-13
-99.52,-9.971870096403946e-11,1.4868869726047293e-13
-99.51,-9.977416111780066e-11,1.48787902184488e-13
-99.5,-9.98296580939095e-11,1.4888722030242926e-13
-99.49,-9.988519162520681e-11,1.4898662286455732e-13
-99.48,-9.994076212351418e-11,1.4908611722169605e-13
-99.47,-9.999636907239236e-11,1.4918564649442283e-13
-99.46,-1.0005201304897783e-10,1.4928527661259483e-13
-99.45,-1.0010769374927881e-10,1.4938496944194648e-13
-99.44,-1.0016341132220713e-10,1.4948476084702354e-13
-99.43,-1.002191658494708e-10,1.495846125892853e-13
-99.42,-1.0027495725507671e-10,1.4968455730499484e-13
-99.41,-1.0033078552293596e-10,1.4978455674425382e-13
-99.4,-1.003866509442409e-10,1.4988463040772547e-13
-99.39,-1.0044255323057409e-10,1.4998481142669323e-13
-99.38,-1.0049849251642962e-10,1.5008503208989375e-13
-99.37,-1.0055446882761731e-10,1.501854014521304e-13
-99.36,-1.0061048257538317e-10,1.5028574413300946e-13
-99.35,-1.0066653311872948e-10,1.503862514581563e-13
-99.34,-1.0072262095092954e-10,1.5048680374664617e-13
-99.33,-1.0077874585475576e-10,1.5058743057278073e-13
-99.32,-1.0083490802358652e-10,1.506881449049287e-13
-99.31,-1.0089110733223796e-10,1.5078891600895507e-13
-99.3,-1.0094734393360175e-10,1.508898084220002e-13
-99.29,-1.0100361792148953e-10,1.509907317550826e-13
-99.28,-1.0105992894315283e-10,1.5109178929497975e-13
-99.27,-1.0111627768958699e-10,1.5119285817707253e-13
-99.26,-1.0117266362693984e-10,1.512940569607045e-13
-99.25,-1.0122908690708755e-10,1.513953142842412e-13
-99.24,-1.012855477438886e-10,1.5149662953268178e-13
-99.23,-1.013420459939039e-10,1.5159805698841164e-13
-99.22,-1.0139858173883374e-10,1.516995516315015e-13
-99.21,-1.0145515502090168e-10,1.5180111023467977e-13
-99.2,-1.0151176564444108e-10,1.519027742248998e-13
-99.19,-1.0156841410268662e-10,1.5200449468205918e-13
-99.18,-1.0162510003498421e-10,1.521063179099117e-13
-99.17,-1.0168182369863948e-10,1.5220818214434784e-13
-99.16,-1.0173858482305064e-10,1.5231014398020758e-13
-99.15,-1.017953838598666e-10,1.5241220418775855e-13
-99.14,-1.0185222048168157e-10,1.525143276930452e-13
-99.13,-1.0190909483438004e-10,1.5261653637038875e-13
-99.12,-1.0196600703289268e-10,1.5271880210142992e-13
-99.11,-1.020229570095904e-10,1.5282117691730318e-13
-99.1,-1.0207994497253148e-10,1.5292357965188283e-13
-99.09,-1.0213697054419892e-10,1.5302613776530836e-13
-99.08,-1.0219403406708174e-10,1.5312870565997057e-13
-99.07,-1.0225113565527289e-10,1.5323137806810908e-13
-99.06,-1.0230827503339117e-10,1.5333420046359055e-13
-99.05,-1.0236545248635227e-10,1.5343699185154336e-13
-99.04,-1.0242266793366032e-10,1.5353991008635364e-13
-99.03,-1.0247992132972795e-10,1.5364293227019296e-13
-99.02,-1.025372129091339e-10,1.5374600558410021e-13
-99.01,-1.0259454235684245e-10,1.538492282841675e-13
-99.0,-1.0265191015451004e-10,1.5395241590262885e-13
-98.99,-1.027093161640671e-10,1.5405569867265478e-13
-98.98,-1.0276676034527844e-10,1.5415912146807482e-13
-98.97,-1.0282424258999896e-10,1.5426259988905455e-13
-98.96,-1.0288176317171168e-10,1.5436616485445166e-13
-98.95,-1.0293932201232534e-10,1.5446980378927145e-13
-98.94,-1.0299691923881448e-10,1.5457350690095335e-13
-98.93,-1.0305455463863954e-10,1.546773189094418e-13
-98.92,-1.031122285506193e-10,1.5478119881954459e-13
-98.91,-1.0316994063395323e-10,1.54885157751999e-13
-98.9,-1.0322769157995046e-10,1.5498917152211915e-13
-98.89,-1.0328548045768441e-10,1.5509334432823043e-13
-98.88,-1.0334330805788629e-10,1.5519755187498074e-13
-98.87,-1.0340117418092784e-10,1.5530183379308824e-13
-98.86,-1.0345907872849522e-10,1.554061980962688e-13
-98.85,-1.0351702192520307e-10,1.55510671455803e-13
-98.84,-1.0357500371645576e-10,1.556151628571259e-13
-98.83,-1.0363302420661482e-10,1.5571978570844331e-13
-98.82,-1.0369108315611966e-10,1.5582450793655777e-13
-98.81,-1.0374918113277181e-10,1.5592925930815645e-13
-98.8,-1.0380731756276422e-10,1.5603411961376911e-13
-98.79,-1.0386549277026012e-10,1.5613904655887606e-13
-98.78,-1.0392370681938031e-10,1.5624408799753996e-13
-98.77,-1.0398195962227727e-10,1.5634918678196625e-13
-98.76,-1.0404025130386256e-10,1.5645436334246424e-13
-98.75,-1.040985816977274e-10,1.5655965848559409e-13
-98.74,-1.0415695126137912e-10,1.5666498457774527e-13
-98.73,-1.0421535957860205e-10,1.567704249926498e-13
-98.72,-1.0427380710095119e-10,1.5687591531119305e-13
-98.71,-1.0433229319839613e-10,1.5698151573126781e-13
-98.7,-1.0439081857869012e-10,1.5708719996596903e-13
-98.69,-1.04449382984248e-10,1.5719292487434199e-13
-98.68,-1.0450798636740953e-10,1.5729880564333614e-13
-98.67,-1.045666289487939e-10,1.5740472961836443e-13
-98.66,-1.0462531064451903e-10,1.575107112315905e-13
-98.65,-1.0468403154749362e-10,1.576167961463894e-13
-98.64,-1.047427916283321e-10,1.577229422756457e-13
-98.63,-1.0480159042773118e-10,1.5782927731029274e-13
-98.62,-1.0486042949010919e-10,1.5793555288819578e-13
-98.61,-1.0491930728001194e-10,1.5804200232253873e-13
-98.6,-1.0497822444086995e-10,1.5814850650752783e-13
-98.59,-1.0503718097756547e-10,1.5825505902080572e-13
-98.58,-1.0509617695846128e-10,1.5836173307531173e-13
-98.57,-1.0515521218353233e-10,1.584685004026437e-13
-98.56,-1.0521428697756216e-10,1.585753388429203e-13
-98.55,-1.0527340113537365e-10,1.586822570246223e-13
-98.54,-1.0533255498474702e-10,1.5878927064486462e-13
-98.53,-1.0539174840023829e-10,1.5889631958788699e-13
-98.52,-1.0545098098919643e-10,1.5900352869677246e-13
-98.51,-1.0551025344439386e-10,1.591107539459589e-13
-98.5,-1.0556956554638169e-10,1.5921808409222207e-13
-98.49,-1.0562891718649396e-10,1.5932551978119827e-13
-98.48,-1.0568830859049934e-10,1.594330319368417e-13
-98.47,-1.0574773980796087e-10,1.5954061346433164e-13
-98.46,-1.0580721081453398e-10,1.5964827347021697e-13
-98.45,-1.0586672106427217e-10,1.597560789181751e-13
-98.44,-1.0592627167461397e-10,1.598638936460471e-13
-98.43,-1.059858619358952e-10,1.5997184677587008e-13
-98.42,-1.0604549209889546e-10,1.600798187587652e-13
-98.41,-1.0610516215657201e-10,1.6018791856534726e-13
-98.4,-1.0616487219581607e-10,1.602960746040306e-13
-98.39,-1.0622462218666465e-10,1.604043556153825e-13
-98.38,-1.0628441218513498e-10,1.6051268196036543e-13
