t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.710235135889281e-11,-1.5084405715362122e-20
-99.99,-9.715608527755048e-11,2.361905911742577e-20
-99.98,-9.720985470080093e-11,9.221912133740354e-21
-99.97,-9.72636592527806e-11,-2.0755267620428684e-21
-99.96,-9.731749938931753e-11,-1.1146115253902662e-20
-99.95,-9.737137499654861e-11,-2.6448271982670198e-21
-99.94,-9.742528616371853e-11,6.781152786606252e-21
-99.93,-9.747923257862974e-11,2.1855211874338678e-20
-99.92,-9.753321469760452e-11,3.1449771114598717e-20
-99.91,-9.758723233007997e-11,4.459261698918194e-21
-99.9,-9.764128563949939e-11,6.0134801998010356e-21
-99.89,-9.769537442807389e-11,-8.824291570954862e-21
-99.88,-9.774949897329639e-11,-1.6245216449725633e-21
-99.87,-9.780365904022082e-11,-2.8271536504295246e-20
-99.86,-9.785785499448221e-11,-9.186726859325365e-21
-99.85,-9.791208666827161e-11,-2.0897828646075625e-21
-99.84,-9.796635527912834e-11,3.3679452517613002e-21
-99.83,-9.802065688095573e-11,2.6967928827693886e-20
-99.82,-9.807499593035131e-11,3.3698831380437356e-20
-99.81,-9.812937066253238e-11,-2.341189064824096e-20
-99.8,-9.818378143083379e-11,-5.932122678308903e-21
-99.79,-9.82382278619768e-11,9.809209635613553e-21
-99.78,-9.829271042730636e-11,8.343426153949996e-21
-99.77,-9.834722874155723e-11,-1.6289096935633984e-20
-99.76,-9.840178295138369e-11,-2.6940528800778767e-20
-99.75,-9.845637316017821e-11,-1.5073048016628547e-21
-99.74,-9.851099975176119e-11,-1.4368398861965124e-20
-99.73,-9.856566206630252e-11,4.557099679403554e-21
-99.72,-9.862036061242766e-11,1.810609281641498e-20
-99.71,-9.867509529045703e-11,-1.628161500946528e-21
-99.7,-9.872986598351508e-11,-3.28601478997697e-21
-99.69,-9.878467287935542e-11,1.8191359812842116e-20
-99.68,-9.883951606797798e-11,6.316936340445261e-21
-99.67,-9.889439529633941e-11,-1.7136408223054737e-20
-99.66,-9.894931074826512e-11,1.4166454260150352e-20
-99.65,-9.900426258786441e-11,-1.0986736745561196e-20
-99.64,-9.905925092304256e-11,-1.3307583059775247e-20
-99.63,-9.911427562153431e-11,-1.8253506983360546e-20
-99.62,-9.916933621360042e-11,1.5190231157568127e-20
-99.61,-9.922443343639674e-11,9.99443786184419e-21
-99.6,-9.927956667959409e-11,-3.2950470251716225e-21
-99.59,-9.933473715004373e-11,-2.4960480853312204e-20
-99.58,-9.938994375059508e-11,1.1679691177789754e-20
-99.57,-9.944518669020128e-11,2.096958099208091e-20
-99.56,-9.95004663416523e-11,4.333181132264479e-21
-99.55,-9.955578224371892e-11,-1.580914148262261e-20
-99.54,-9.961113512350606e-11,-9.263804179811075e-21
-99.53,-9.966652439403669e-11,-2.788904830569781e-21
-99.52,-9.972195024474052e-11,7.428946042861546e-21
