M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,2.349545569374476e-20,4.201231583420752e-20
-3.999,2.377171882645478e-20,4.2558057683151184e-20
-3.998,2.405119202287059e-20,4.3110880417044934e-20
-3.997,2.4333912027045333e-20,4.367087579042805e-20
-3.996,2.4619915995470403e-20,4.4238136745113034e-20
-3.995,2.490924150158357e-20,4.4812757425524487e-20
-3.994,2.520192654032448e-20,4.539483319423573e-20
-3.993,2.5498009532738097e-20,4.598446064770584e-20
-3.992,2.5797529330626514e-20,4.6581737632219633e-20
-3.991,2.6100525221249614e-20,4.718676326003318e-20
-3.99,2.640703693207509e-20,4.779963792572758e-20
-3.989,2.671710463557826e-20,4.842046332277357e-20
-3.988,2.7030768954092247e-20,4.9049342460309756e-20
-3.987,2.7348070964708944e-20,4.9686379680137215e-20
-3.986,2.766905220423129e-20,5.033168067393318e-20
-3.985,2.799375467417741e-20,5.098535250068674e-20
-3.984,2.832222084583702e-20,5.16475036043593e-20
-3.983,2.865449366538074e-20,5.231824383177279e-20
-3.982,2.899061655902274e-20,5.299768445072846e-20
-3.981,2.933063343823728e-20,5.3685938168359314e-20
-3.98,2.9674588705029626e-20,5.438311914971913e-20
-3.979,3.002252725726198e-20,5.508934303661115e-20
-3.978,3.0374494494034855e-20,5.580472696665947e-20
-3.977,3.0730536321124433e-20,5.652938959262635e-20
-3.976,3.109069915647659e-20,5.72634511019785e-20
-3.975,3.1455029935757927e-20,5.800703323670556e-20
-3.974,3.182357611796457e-20,5.876025931339415e-20
-3.973,3.219638569108915e-20,5.952325424356055e-20
-3.972,3.257350717784661e-20,6.029614455424563e-20
-3.971,3.2954989641459366e-20,6.1079058408875e-20
-3.97,3.33408826915024e-20,6.187212562838834e-20
-3.969,3.3731236489808935e-20,6.267547771264074e-20
-3.968,3.412610175643714e-20,6.348924786208012e-20
-3.967,3.452552977569861e-20,6.43135709997039e-20
-3.966,3.4929572402249045e-20,6.514858379329866e-20
-3.965,3.533828206724194e-20,6.599442467796652e-20
-3.964,3.575171178454566e-20,6.685123387894165e-20
-3.963,3.616991515702469e-20,6.771915343470093e-20
-3.962,3.659294638288556e-20,6.85983272203724e-20
-3.961,3.702086026208817e-20,6.948890097144536e-20
-3.96,3.7453712202823007e-20,7.039102230778598e-20
-3.959,3.7891558228055017e-20,7.130484075796236e-20
-3.958,3.833445498213466e-20,7.223050778388307e-20
-3.957,3.878245973747687e-20,7.316817680575307e-20
-3.956,3.9235630401308533e-20,7.411800322735125e-20
-3.955,3.96940255224851e-20,7.508014446163365e-20
-3.954,4.015770429837705e-20,7.605475995666648e-20
-3.953,4.0626726581826834e-20,7.704201122189328e-20
