M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-2.1734882737506186e-19,-5.048515710332095e-20
-3.999,-2.200696939451857e-19,-5.128028919273334e-20
-3.998,-2.2282449902421407e-19,-5.2087517839178384e-20
-3.997,-2.2561366420027444e-19,-5.2907022552075074e-20
-3.996,-2.2843761627367016e-19,-5.3738985455032606e-20
-3.995,-2.3129678732096366e-19,-5.458359132335893e-20
-3.994,-2.341916147598425e-19,-5.5441027622101e-20
-3.993,-2.371225414147778e-19,-5.631148454462416e-20
-3.992,-2.4009001558348443e-19,-5.719515505173816e-20
-3.991,-2.4309449110419278e-19,-5.809223491137765e-20
-3.99,-2.4613642742374206e-19,-5.900292273884468e-20
-3.989,-2.492162896665048e-19,-5.992742003762135e-20
-3.988,-2.523345487041529e-19,-6.086593124076037e-20
-3.987,-2.554916812262754e-19,-6.18186637528618e-20
-3.986,-2.586881698118579e-19,-6.278582799264411e-20
-3.985,-2.6192450300163477e-19,-6.37676374361179e-20
-3.984,-2.65201175371324e-19,-6.476430866037072e-20
-3.983,-2.685186876057557e-19,-6.577606138797159e-20
-3.982,-2.718775465739053e-19,-6.680311853200389e-20
-3.981,-2.752782654048418e-19,-6.784570624173531e-20
-3.98,-2.7872136356460286e-19,-6.890405394893406e-20
-3.979,-2.822073669340074e-19,-6.997839441484006e-20
-3.978,-2.8573680788741703e-19,-7.106896377780051e-20
-3.977,-2.893102253724585e-19,-7.217600160157908e-20
-3.976,-2.9292816499071786e-19,-7.329975092434808e-20
-3.975,-2.9659117907941866e-19,-7.444045830837336e-20
-3.974,-3.002998267940961e-19,-7.55983738904014e-20
-3.973,-3.0405467419227856e-19,-7.67737514327585e-20
-3.972,-3.0785629431818986e-19,-7.796684837517231e-20
-3.971,-3.1170526728848313e-19,-7.917792588732523e-20
-3.97,-3.156021803790201e-19,-8.040724892215047e-20
-3.969,-3.195476281127074e-19,-8.165508626988095e-20
-3.968,-3.2354221234840367e-19,-8.292171061286142e-20
-3.967,-3.275865423709092e-19,-8.42073985811348e-20
-3.966,-3.3168123498205213e-19,-8.551243080881321e-20
-3.965,-3.3582691459288444e-19,-8.683709199124502e-20
-3.964,-3.400242133170002e-19,-8.818167094298873e-20
-3.963,-3.442737710649911e-19,-8.954646065660513e-20
-3.962,-3.485762356400513e-19,-9.093175836227928e-20
-3.961,-3.5293226283474725e-19,-9.233786558828351e-20
-3.96,-3.5734251652896487e-19,-9.376508822229376e-20
-3.959,-3.6180766878904952e-19,-9.521373657357067e-20
-3.958,-3.6632839996815297e-19,-9.668412543601781e-20
-3.957,-3.7090539880780085e-19,-9.81765741521292e-20
-3.956,-3.7553936254069714e-19,-9.969140667783851e-20
-3.955,-3.8023099699477895e-19,-1.0122895164828267e-19
-3.954,-3.849810166985377e-19,-1.0278954244449248e-19
-3.953,-3.897901449876214e-19,-1.0437351726102326e-19
-3.952,-3.9465911411273413e-19,-1.0598121917453874e-19
-3.951,-3.995886653488475e-19,-1.0761299621336129e-19
-3.95,-4.0457954910574066e-19,-1.092692014280022e-19
-3.949,-4.096325250398844e-19,-1.1095019296268562e-19
-3.948,-4.147483621676861e-19,-1.1265633412787981e-19
-3.947,-4.19927838980111e-19,-1.1438799347385025e-19
-3.946,-4.251717435586975e-19,-1.1614554486524823e-19
-3.945,-4.3048087369298227e-19,-1.1792936755675006e-19
-3.944,-4.358560369993531e-19,-1.197398462697608e-19
-3.943,-4.412980510413459e-19,-1.215773712701982e-19
-3.942,-4.468077434514034e-19,-1.23442338447371e-19
-3.941,-4.523859520541139e-19,-1.2533514939396772e-19
-3.94,-4.58033524990947e-19,-1.272562114871708e-19
-3.939,-4.637513208465039e-19,-1.2920593797091216e-19
-3.938,-4.695402087763029e-19,-1.3118474803928565e-19
-3.937,-4.754010686361156e-19,-1.3319306692113325e-19
-3.936,-4.813347911128743e-19,-1.3523132596582052e-19
-3.935,-4.873422778571688e-19,-1.3729996273021842e-19
-3.934,-4.934244416173523e-19,-1.393994210669084e-19
-3.933,-4.995822063752751e-19,-1.4153015121362715e-19
-3.932,-5.058165074836661e-19,-1.4369260988396907e-19
-3.931,-5.121282918051817e-19,-1.4588726035936346e-19
-3.93,-5.185185178531427e-19,-1.4811457258234437e-19
-3.929,-5.249881559339783e-19,-1.5037502325113102e-19
-3.928,-5.315381882913994e-19,-1.5266909591553723e-19
-3.927,-5.381696092523201e-19,-1.5499728107422815e-19
-3.926,-5.448834253745504e-19,-1.5736007627334308e-19
-3.925,-5.516806555962796e-19,-1.5975798620650368e-19
-3.924,-5.5856233138737335e-19,-1.6219152281622623e-19
-3.923,-5.6552949690250505e-19,-1.6466120539675835e-19
-3.922,-5.72583209136144e-19,-1.6716756069835906e-19
-3.921,-5.797245380794234e-19,-1.6971112303304316e-19
-3.92,-5.869545668789093e-19,-1.7229243438180942e-19
-3.919,-5.942743919972946e-19,-1.7491204450337414e-19
-3.918,-6.016851233760406e-19,-1.7757051104443013e-19
-3.917,-6.091878845999898e-19,-1.8026839965145312e-19
-3.916,-6.167838130639723e-19,-1.830062840840764e-19
-3.915,-6.244740601414335e-19,-1.8578474633005607e-19
-3.914,-6.322597913551012e-19,-1.8860437672184879e-19
-3.913,-6.401421865497233e-19,-1.9146577405482421e-19
-3.912,-6.481224400668957e-19,-1.9436954570713545e-19
-3.911,-6.562017609220082e-19,-1.9731630776126977e-19
-3.91,-6.643813729833334e-19,-2.003066851273037e-19
-3.909,-6.726625151532835e-19,-2.0334131166788559e-19
-3.908,-6.810464415518621e-19,-2.0642083032497016e-19
-3.907,-6.895344217023355e-19,-2.0954589324832876e-19
-3.906,-6.981277407191534e-19,-2.1271716192586067e-19
-3.905,-7.068276994981423e-19,-2.1593530731573008e-19
-3.904,-7.156356149090005e-19,-2.1920100998035396e-19
-3.903,-7.245528199901233e-19,-2.2251496022226703e-19
-3.902,-7.335806641457842e-19,-2.2587785822188944e-19
-3.901,-7.427205133457021e-19,-2.2929041417722377e-19
-3.9,-7.519737503270218e-19,-2.3275334844550794e-19
-3.899,-7.613417747987375e-19,-2.3626739168685185e-19
-3.898,-7.708260036485886e-19,-2.3983328500988407e-19
-3.897,-7.804278711524566e-19,-2.434517801194377e-19
-3.896,-7.901488291862939e-19,-2.4712363946630306e-19
-3.895,-7.999903474406145e-19,-2.5084963639907594e-19
-3.894,-8.09953913637577e-19,-2.5463055531813042e-19
-3.893,-8.200410337506911e-19,-2.5846719183174635e-19
-3.892,-8.302532322271797e-19,-2.6236035291442026e-19
-3.891,-8.405920522130266e-19,-2.663108570673911e-19
-3.89,-8.5105905578074425e-19,-2.703195344814107e-19
-3.889,-8.616558241598917e-19,-2.7438722720179082e-19
-3.888,-8.723839579703778e-19,-2.785147892957576e-19
-3.887,-8.832450774585813e-19,-2.8270308702214573e-19
-3.886,-8.942408227363221e-19,-2.869529990034652e-19
-3.885,-9.053728540227186e-19,-2.912654164003727e-19
-3.884,-9.16642851888964e-19,-2.9564124308858154e-19
-3.883,-9.280525175060574e-19,-3.000813958382438e-19
-3.882,-9.396035728955255e-19,-3.0458680449583894e-19
-3.881,-9.51297761183169e-19,-3.0915841216860348e-19
-3.88,-9.631368468558713e-19,-3.137971754115371e-19
-3.879,-9.751226160215065e-19,-3.185040644170209e-19
-3.878,-9.872568766719803e-19,-3.232800632070836e-19
-3.877,-9.99541458949447e-19,-3.2812616982835307e-19
-3.876,-1.011978215415734e-18,-3.3304339654972963e-19
-3.875,-1.0245690213250179e-18,-3.3803277006281923e-19
-3.874,-1.0373157748997861e-18,-3.430953316851647e-19
-3.873,-1.0502203976101272e-18,-3.482321375663138e-19
-3.872,-1.0632848344563873e-18,-3.534442588967628e-19
-3.871,-1.0765110542552327e-18,-3.5873278211981665e-19
-3.87,-1.089901049929161e-18,-3.640988091464045e-19
-3.869,-1.1034568387995e-18,-3.6954345757289297e-19
-3.868,-1.117180462882937e-18,-3.7506786090193745e-19
-3.867,-1.13107398919162e-18,-3.806731687664143e-19
-3.866,-1.1451395100368747e-18,-3.8636054715647606e-19
-3.865,-1.1593791433365779e-18,-3.9213117864977307e-19
-3.864,-1.1737950329262337e-18,-3.979862626448854e-19
-3.863,-1.1883893488737942e-18,-4.039270155980093e-19
-3.862,-1.2031642877982703e-18,-4.099546712629431e-19
-3.861,-1.2181220731921793e-18,-4.160704809344187e-19
-3.86,-1.2332649557478714e-18,-4.222757136948238e-19
-3.859,-1.2485952136877844e-18,-4.285716566643636e-19
-3.858,-1.2641151530986725e-18,-4.349596152547071e-19
-3.857,-1.2798271082698554e-18,-4.414409134261683e-19
-3.856,-1.2957334420355374e-18,-4.480168939484704e-19
-3.855,-1.3118365461212423e-18,-4.546889186651413e-19
-3.854,-1.3281388414944174e-18,-4.614583687615932e-19
-3.853,-1.3446427787192504e-18,-4.683266450369346e-19
-3.852,-1.3613508383157537e-18,-4.752951681795674e-19
-3.851,-1.3782655311231672e-18,-4.823653790466221e-19
-3.85,-1.3953893986677256e-18,-4.895387389472827e-19
-3.849,-1.4127250135348486e-18,-4.968167299300553e-19
-3.848,-1.4302749797458018e-18,-5.042008550740362e-19
-3.847,-1.4480419331388857e-18,-5.116926387842331e-19
-3.846,-1.4660285417552009e-18,-5.192936270909961e-19
-3.845,-1.4842375062290496e-18,-5.27005387953615e-19
-3.844,-1.5026715601830243e-18,-5.348295115681407e-19
-3.843,-1.5213334706278429e-18,-5.42767610679489e-19
-3.842,-1.540226038366982e-18,-5.508213208978851e-19
-3.841,-1.5593520984061716e-18,-5.589923010197104e-19
-3.84,-1.5787145203678004e-18,-5.672822333528101e-19
-3.839,-1.5983162089102996e-18,-5.756928240463251e-19
-3.838,-1.618160104152557e-18,-5.842258034251093e-19
-3.837,-1.6382491821034236e-18,-5.928829263287971e-19
-3.836,-1.6585864550963739e-18,-6.016659724555826e-19
-3.835,-1.6791749722293794e-18,-6.105767467107785e-19
-3.834,-1.7000178198100582e-18,-6.196170795602189e-19
-3.833,-1.7211181218061628e-18,-6.287888273885722e-19
-3.832,-1.74247904030147e-18,-6.3809387286263415e-19
-3.831,-1.7641037759571355e-18,-6.475341252996672e-19
-3.83,-1.7859955684785776e-18,-6.571115210408569e-19
-3.829,-1.808157697087961e-18,-6.668280238299562e-19
-3.828,-1.830593481002338e-18,-6.766856251971883e-19
-3.827,-1.8533062799175206e-18,-6.866863448484811e-19
-3.826,-1.8762994944977503e-18,-6.96832231060106e-19
-3.825,-1.899576566871232e-18,-7.07125361078797e-19
-3.824,-1.9231409811316033e-18,-7.175678415274241e-19
-3.823,-1.9469962638454102e-18,-7.281618088162973e-19
-3.822,-1.9711459845656573e-18,-7.3890942956018075e-19
-3.821,-1.9955937563515047e-18,-7.498129010010941e-19
-3.82,-2.0203432362941916e-18,-7.608744514369803e-19
-3.819,-2.045398126049247e-18,-7.720963406563221e-19
-3.818,-2.0707621723750725e-18,-7.834808603787888e-19
-3.817,-2.0964391676779703e-18,-7.950303347019948e-19
-3.816,-2.122432950563689e-18,-8.067471205544562e-19
-3.815,-2.1487474063955668e-18,-8.186336081548296e-19
-3.814,-2.175386467859351e-18,-8.306922214775192e-19
-3.813,-2.202354115534771e-18,-8.429254187247407e-19
-3.812,-2.2296543784739438e-18,-8.553356928051314e-19
-3.811,-2.2572913347866953e-18,-8.679255718189935e-19
-3.81,-2.285269112232877e-18,-8.806976195502666e-19
-3.809,-2.3135918888217595e-18,-8.93654435965318e-19
-3.808,-2.342263893418592e-18,-9.067986577186454e-19
-3.807,-2.371289406358405e-18,-9.201329586655897e-19
-3.806,-2.4006727600671437e-18,-9.336600503821501e-19
-3.805,-2.4304183396902252e-18,-9.473826826920029e-19
-3.804,-2.4605305837285974e-18,-9.613036442008207e-19
-3.803,-2.4910139846823906e-18,-9.754257628379934e-19
-3.802,-2.521873089702259e-18,-9.897519064058526e-19
-3.801,-2.553112501248491e-18,-1.004284983136502e-18
-3.8,-2.5847368777579888e-18,-1.0190279422563597e-18
-3.799,-2.6167509343192044e-18,-1.0339837745585164e-18
-3.798,-2.6491594433551292e-18,-1.0491555129830186e-18
-3.797,-2.6819672353144312e-18,-1.0645462332051858e-18
-3.796,-2.7151791993708344e-18,-1.0801590542320693e-18
-3.795,-2.7488002841308373e-18,-1.0959971390071685e-18
-3.794,-2.7828354983498728e-18,-1.1120636950235162e-18
-3.793,-2.817289911657002e-18,-1.1283619749452453e-18
-3.792,-2.852168655288249e-18,-1.1448952772377593e-18
-3.791,-2.887476922828671e-18,-1.1616669468066189e-18
-3.79,-2.923219970963278e-18,-1.1786803756452675e-18
-3.789,-2.9594031202368887e-18,-1.1959390034917173e-18
-3.788,-2.9960317558230476e-18,-1.2134463184943162e-18
-3.787,-3.0331113283020927e-18,-1.2312058578867235e-18
-3.786,-3.070647354448492e-18,-1.2492212086722184e-18
-3.785,-3.108645418027553e-18,-1.2674960083174711e-18
-3.784,-3.147111170601618e-18,-1.2860339454559038e-18
-3.783,-3.186050332345851e-18,-1.304838760600778e-18
-3.782,-3.2254686928737375e-18,-1.3239142468681349e-18
-3.781,-3.2653721120724035e-18,-1.3432642507097307e-18
-3.78,-3.305766520947873e-18,-1.3628926726560986e-18
-3.779,-3.3466579224803793e-18,-1.3828034680698808e-18
-3.778,-3.3880523924898475e-18,-1.4030006479095673e-18
-3.777,-3.42995608051167e-18,-1.4234882795037878e-18
-3.776,-3.47237521068289e-18,-1.4442704873362988e-18
-3.775,-3.515316082638925e-18,-1.465351453841814e-18
-3.774,-3.558785072420943e-18,-1.486735420212826e-18
-3.773,-3.602788633394018e-18,-1.508426687217571e-18
-3.772,-3.647333297176205e-18,-1.5304296160292879e-18
-3.771,-3.692425674578637e-18,-1.5527486290669267e-18
-3.77,-3.7380724565568026e-18,-1.5753882108474644e-18
-3.769,-3.784280415173104e-18,-1.598352908849987e-18
-3.768,-3.831056404570856e-18,-1.6216473343916979e-18
-3.767,-3.878407361959841e-18,-1.6452761635160165e-18
-3.766,-3.926340308613565e-18,-1.6692441378929344e-18
-3.765,-3.9748623508783414e-18,-1.6935560657317938e-18
-3.764,-4.023980681194357e-18,-1.7182168227066612e-18
-3.763,-4.0737025791288406e-18,-1.743231352894468e-18
-3.762,-4.124035412421493e-18,-1.7686046697260916e-18
-3.761,-4.1749866380423116e-18,-1.794341856950557e-18
-3.76,-4.226563803261959e-18,-1.8204480696125345e-18
-3.759,-4.2787745467348156e-18,-1.8469285350433212e-18
-3.758,-4.331626599594875e-18,-1.8737885538654843e-18
-3.757,-4.385127786564623e-18,-1.9010335010113585e-18
-3.756,-4.439286027077057e-18,-1.928668826755584e-18
-3.755,-4.4941093364109934e-18,-1.956700057761881e-18
-3.754,-4.549605826839826e-18,-1.9851327981442486e-18
-3.753,-4.605783708793887e-18,-2.0139727305427955e-18
-3.752,-4.6626512920365705e-18,-2.0432256172143913e-18
-3.751,-4.720216986854374e-18,-2.0728973011383517e-18
-3.75,-4.778489305261037e-18,-2.1029937071373554e-18
-3.749,-4.837476862215914e-18,-2.1335208430138068e-18
-3.748,-4.897188376856775e-18,-2.1644848007018503e-18
-3.747,-4.9576326737471814e-18,-2.195891757435257e-18
-3.746,-5.018818684138623e-18,-2.2277479769313927e-18
-3.745,-5.080755447247568e-18,-2.260059810591494e-18
-3.744,-5.1434521115476275e-18,-2.292833698717475e-18
-3.743,-5.206917936076979e-18,-2.326076171745481e-18
-3.742,-5.271162291761254e-18,-2.3597938514964367e-18
-3.741,-5.336194662752046e-18,-2.3939934524438e-18
-3.74,-5.402024647781249e-18,-2.4286817829987736e-18
-3.739,-5.4686619615313745e-18,-2.463865746813201e-18
-3.738,-5.536116436022065e-18,-2.499552344100399e-18
-3.737,-5.604398022012975e-18,-2.535748672974163e-18
-3.736,-5.6735167904232155e-18,-2.5724619308061974e-18
-3.735,-5.743482933767549e-18,-2.6096994156022238e-18
-3.734,-5.814306767609538e-18,-2.6474685273970186e-18
-3.733,-5.885998732031838e-18,-2.6857767696686437e-18
-3.732,-5.958569393123834e-18,-2.724631750772126e-18
-3.731,-6.032029444486822e-18,-2.7640411853928573e-18
-3.73,-6.106389708756946e-18,-2.8040128960199803e-18
-3.729,-6.1816611391460825e-18,-2.8445548144400355e-18
-3.728,-6.257854821000895e-18,-2.8856749832511436e-18
-3.727,-6.3349819733802594e-18,-2.9273815573980064e-18
-3.726,-6.413053950651281e-18,-2.9696828057280067e-18
-3.725,-6.492082244104105e-18,-3.0125871125687015e-18
-3.724,-6.572078483585764e-18,-3.0561029793269916e-18
-3.723,-6.653054439153244e-18,-3.1002390261102726e-18
-3.722,-6.7350220227460385e-18,-3.1450039933698596e-18
-3.721,-6.817993289878371e-18,-3.190406743566995e-18
-3.72,-6.9019804413513466e-18,-3.236456262861745e-18
-3.719,-6.986995824985249e-18,-3.2831616628250966e-18
-3.718,-7.073051937372211e-18,-3.3305321821745742e-18
-3.717,-7.160161425649515e-18,-3.378577188533692e-18
-3.716,-7.248337089293732e-18,-3.4273061802155746e-18
-3.715,-7.337591881935966e-18,-3.476728788031065e-18
-3.714,-7.427938913198437e-18,-3.5268547771216645e-18
-3.713,-7.519391450552652e-18,-3.57769404881764e-18
-3.712,-7.611962921199396e-18,-3.6292566425216324e-18
-3.711,-7.705666913970838e-18,-3.681552737618131e-18
-3.71,-7.800517181254951e-18,-3.73459265540915e-18
-3.709,-7.896527640942548e-18,-3.788386861076475e-18
-3.708,-7.993712378397178e-18,-3.842945965670839e-18
-3.707,-8.092085648448146e-18,-3.898280728128391e-18
-3.706,-8.191661877406913e-18,-3.954402057314831e-18
-3.705,-8.29245566510718e-18,-4.0113210140975955e-18
-3.704,-8.39448178696888e-18,-4.069048813446464e-18
-3.703,-8.497755196086402e-18,-4.1275968265629806e-18
-3.702,-8.602291025341284e-18,-4.186976583039082e-18
-3.701,-8.708104589539692e-18,-4.2471997730453316e-18
-3.7,-8.815211387574946e-18,-4.3082782495491566e-18
